년도/월,명목gdp,경제성장률,경상수지,무역수지,소비자물가,생산자물가,기준금리,콜금리,코스피지수,코스닥지수,나스닥변동률,외국인보유금,외국인보유금(시가총액대비),엔달러절상율,원달러절상율,환율
200712,1089660,5.8,822,-866,3.6,3.6,5,4.99,1897.13,704.23,-0.0033,344.2,32.7,5.1,-0.7,936.1
200801,1154217,3,-689,-4043,3.9,4.1,5,4.99,1624.68,608.84,-0.0989,279.3,30.9,6.1,-0.8,943.9
200802,1154217,3,-2235,-1446,3.6,5.1,5,4.97,1711.62,655.94,-0.0495,282.2,29.5,7.8,-0.3,939
200803,1154217,3,973,-1119,3.9,6,5,4.97,1703.99,644.45,0.0034,278.1,29.1,13.3,-5.5,990.4
200804,1154217,3,-2387,-410,4.1,7.5,5,4.99,1825.47,647.02,0.0587,304.4,29.9,8.8,-6.6,1002.6
200805,1154217,3,-1738,679,4.9,9,5,4.97,1852.02,652.15,0.0455,307.8,29.8,7.3,-9.1,1030.1
200806,1154217,3,-1143,-569,5.5,10.5,5,4.95,1674.92,590.19,-0.091,274.1,29.3,6.7,-10.5,1046
200807,1154217,3,-2262,-1991,5.9,12.5,5,4.98,1594.67,539.44,0.0142,254,28.6,4.6,-7.5,1012.2
200808,1154217,3,-3845,-3809,5.6,12.3,5.25,5.22,1474.24,470.28,0.018,237.1,28.9,3.6,-14,1089
200809,1154217,3,1469,-2100,5.1,11.3,5.25,5.22,1448.06,440.77,-0.1164,225.4,28,8.3,-22.4,1207
200810,1154217,3,3905,1012,4.8,10.8,4.25,4.88,1113.06,308.03,-0.1773,175.4,28.6,15.2,-27.5,1291
200811,1154217,3,2761,-12,4.5,7.8,4,4,1076.07,307.48,-0.1077,166.2,27.9,18.5,-36.3,1469
200812,1154217,3,6944,542,4.1,5.5,3,3.27,1124.47,332.05,0.027,169.6,27.2,25.3,-25.7,1259.5
200901,1205348,0.8,176,-3766,3.7,4.6,2.5,2.43,1162.11,364.9,-0.0638,175.7,27,0.9,-8.7,1379.5
200902,1205348,0.8,5013,2799,4.1,4.4,2,2.06,1063.03,363.21,-0.0668,159.5,26.6,-7.6,-17.9,1534
200903,1205348,0.8,5786,3970,3.9,3.5,2,1.77,1206.26,421.44,0.1094,178.7,26.1,-7.9,-9,1383.5
200904,1205348,0.8,3139,5453,3.6,1.5,2,1.8,1369.36,500.98,0.1235,203.3,25.9,-7.4,-1.8,1282
200905,1205348,0.8,2329,4417,2.7,-1.3,2,1.91,1395.89,528.8,0.0332,212.7,26.4,-6.6,0.4,1255
